Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\arduino uno\Project Outputs for arduino uno\Pick Place\Pick Place for arduinoUnoPCB(FIXED_5V).txt

========================================================================================================================
File Design Information:

Date:       31-05-20
Time:       01:44
Revision:   Not in VersionControl
Variant:    FIXED_5V
Units used: mm

Designator Comment                            Layer    Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
J2         M20-7820646                        TopLayer M20-7820646                     57.1500mm    2.5400mm     90       "06-WAY SIL VERT SOCKET L/FREE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z2         CG0603MLC-05E                      TopLayer R0603                           5.9000mm     20.4000mm    270      "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z1         CG0603MLC-05E                      TopLayer R0603                           5.9000mm     17.8000mm    90       "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Y1         ABM7-16.000MHZ-D2Y-T               TopLayer ABM7CRYBIG                      43.8000mm    28.4000mm    360      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Y2         ABM7-16.000MHZ-D2Y-T               TopLayer ABM7CRYBIG                      25.6000mm    29.5000mm    270      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
U5         SN74AHC1G09DBVR                    TopLayer DBVSOP23-5                      6.4000mm     26.2000mm    90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U7         SN74AHC1G09DBVR                    TopLayer DBVSOP23-5                      22.8000mm    15.6000mm    90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U6         SN74AHC1G09DBVR                    TopLayer DBVSOP23-5                      66.2000mm    16.0000mm    270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U4         SN74AHC1G09DBVR                    TopLayer DBVSOP23-5                      18.2000mm    43.3000mm    0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U1         ATMEGA328P-PU                      TopLayer DIP28                           45.5550mm    16.6450mm    270      "ATMEGA328P-PU; 8 bit Microcontroller AVR 20MHz 1; 32kb Flash; 2kb RAM; I2C SPI 2"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U3         TL1963A-33DCQR                     TopLayer DCQ                             16.0000mm    13.8000mm    90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
